,maxdegree_1,maxdegree_2,maxdegree_3,maxdegree_4,sector_1,sector_2,sector_3,sector_4,sector_5,regio_1,regio_2,regio_3,regio_4,n_founders,founding_age,n_investors,n_fund_rounds,avrg_inv_per_round,n_leadinvestors,leadinv_rate,years_till_firstfund,total_funding,%_first_funding_of_total,female_founders,founders_experience,has_valuation,has_moneyraised_data,alpha_bench,alpha_bench_binary,Cluster
Zymeworks,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.3461538461538462,0.15,0.5454545454545454,0.106875,0.2631578947368421,0.7142857142857143,0.13793103448275862,0.005197548413716476,0.010327755084761825,0,0.1111111111111111,1,1,-0.426,0,1
Holaluz,0,0,1,0,0,1,0,0,0,1,0,0,0,3,0.13461538461538464,0.025,0.2727272727272727,0.0,0.05263157894736842,0.25,0.0,0.0005433086037196571,0.03131058008784325,1,0.1111111111111111,0,0,-0.034,0,1
Mynaric,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0.05769230769230771,0.0,0.0,0.0,0.05263157894736842,1.0,0.27586206896551724,0.00013192321304669453,1.0000000000000002,0,0.2222222222222222,1,1,-0.196,0,0
Canadian Solar,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.3269230769230769,0.0,0.0,0.0,0.0,0.0,0.5172413793103449,0.00014337389134483155,1.0000000000000002,0,0.1111111111111111,1,1,-0.378,0,0
Digital Magics,1,0,0,0,0,0,0,0,1,1,0,0,0,4,0.3269230769230769,0.008333333333333333,0.09090909090909091,0.0,0.0,0.0,0.3103448275862069,2.0352759819280564e-05,1.91790840208126e-06,0,0.5555555555555556,0,0,-0.152,0,1
Rovio Entertainment,1,0,0,0,0,0,1,0,0,1,0,0,0,3,0.0,0.025,0.09090909090909091,0.0625,0.05263157894736842,0.5,0.27586206896551724,0.0031421023459100323,0.5518558510609531,1,0.1111111111111111,1,0,-0.558,0,0
Ekso Bionics,0,1,0,0,1,0,0,0,0,0,1,0,0,3,0.3269230769230769,0.025,0.1818181818181818,0.020625000000000004,0.0,0.0,0.1724137931034483,0.0005798924573836795,7.087356823024354e-08,0,0.3333333333333333,0,0,-0.308,0,1
Bellicum Pharmaceuticals,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0.44230769230769235,0.175,0.5454545454545454,0.13375,0.10526315789473684,0.2857142857142857,0.10344827586206896,0.006728085434816139,0.023015653367001208,0,0.3333333333333333,0,1,-0.07,0,1
Redfin,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0.03846153846153849,0.3416666666666666,0.7272727272727273,0.229375,0.42105263157894735,0.8888888888888888,0.034482758620689655,0.008656318287064788,0.0036733133772511124,0,0.1111111111111111,1,1,-0.084,0,1
GeoOp,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0.05769230769230771,0.0,0.0,0.0,0.0,0.0,0.13793103448275862,0.0004118298298043107,1.0000000000000002,1,0.1111111111111111,0,1,-0.458,0,0
