Organization Name,Organization Name URL,Industries,City,State,Country,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Founders,Number of Founders,Number of Employees,Number of Exits,Number of Lead Investments,Funding Status,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Number of Acquisitions,Acquisition Status,Delisted Date,Delisted Date Precision,Number of Investors,Number of Lead Investors,Number of Investments,Operating Status,Full Description,Hub Tags,Number of Articles,Investor Type,Investment Stage,Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Number of Alumni,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,Transaction Name,Transaction Name URL,IPO Status,SimilarWeb - Monthly Visits,SimilarWeb - Bounce Rate,SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Bounce Rate Growth,Stock Symbol,Stock Symbol URL,Stock Exchange,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),IPO Date,Top 5 Investors,Number of Founders (Alumni),School Method,Number of Enrollments,School Program,School Type,Number of Portfolio Organizations,Number of Exits (IPO),Description,Company Type,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Siftery - Total Products Active,Number of Events,Twitter,Website,Facebook,LinkedIn,Contact Email,Headquarters Regions,FS_COUNTRY_CODE,FactSet_ID,FS_NAME,CB_IPO_DATE,CB_IPO_DATE_+6M ,FS_IPO_DATE,IPO_DATE_TRUE,IPO_DATE_TRUE+6M,FS_Historical_Ticker,IPO_RETURN_TRUE_DATE,IPO_CLASS,LIFETIME_RETURN,LIFETURN_CLASS
Numberly (1000mercis Group),https://www.crunchbase.com/organization/numberly-1000mercis-group,"Advertising Platforms, CRM, Digital Marketing",Paris,Ile-de-France,France,,2000-02-23,day,2006-02-17,day,,,,,,,"Thibaut Munier, Yseulys Costes",2,251-500,,,IPO,,,,,,,,,,,,,,,Active,"Numberly (1000mercis Group) is an international data-marketing technology company helping advertisers leverage their CRM assets through programmatic media buying, from data collection (DMP and onboarding) to data activation. It offers data collection, machine learning and activation ecosystem on Cloudera fueling marketing analytics, ad bidding and recommendation engines at scale. Created in February 2000 by Yseulys Costes and Thibaut Munier, 1000mercis Group accompanies many advertisers in many sectors such as travel, specialty retail, services, e-merchants, consumer goods, banking and insurance... Key information  numberly helps its clients to design, develop, implement, and maximise the ROI of their interactive marketing and advertising campaigns. Location:Paris, Palo Alto, London, Brussels, Amsterdam, Montreal, Milan, New York, Dubai.    Number of associates: 500    Turnover 2018: €68,1M Our solutions: RTB  • DMP Data Management Platform • CRM Display • Programmatic Buying • First Party Database Interactive Advertising • Email Attitude • Targeted recruitment • Scoring, customer profile studies • B to C sites -Interactive Marketing e-CRM • Data collection techniques • Loyalty programmes • Conversion scenarios • Qualifying campaigns • Use of social networks Mobile • m-CRM • Mobile sites • iPhone, iPad and Android Applications • SMS/Text messaging • In-store CRM",,1,,,,,,,,,,,,,,,,,,,,,,,Public,"33,466",55.26%,24.5%,"2,020",-9.51%,16.1%,ALMIL,https://www.crunchbase.com/ipo/numberly-1000mercis-group-ipo--8b210d52,EPA - Euronext Paris,,,,,,,2006-02-17,,,,,,,,,Marketing Technologist,For Profit,,,,,58.0,,https://twitter.com/Numberly,http://www.numberly.com/,https://www.facebook.com/Numberly1000mercis/,https://www.linkedin.com/company/numberly/,,European Union (EU),FR,ALMIL-FR,1000mercis SA,2006-02-19,2006-08-16,2006-02-08,2006-02-19,2006-08-18,ALMIL-PAR,-0.031891881999999996,0.0,0.21081078,1.0
10X Genomics,https://www.crunchbase.com/organization/10x-genomics,"Biotechnology, Genetics, Health Care, Medical",Pleasanton,California,United States,$50M to $100M,2012-01-01,year,2019-09-11,day,,,242600000.0,USD,242600000.0,6.0,"Ben Hindson, Serge Saxonov",2,251-500,,,IPO,35000000.0,USD,35000000.0,Series D,242600000.0,USD,242600000.0,2.0,Made Acquisitions,,,10.0,4.0,,Active,10x Genomics is creating revolutionary DNA sequencing technology to help researchers better identify subtle variations that are overlooked by technologies that shred biological samples into tiny fragments before sequencing the short stretches and using computers to assembling them into a genome.,Unicorn,32,,,,,,,Series D,35000000.0,USD,35000000.0,2019-01-07,,,,,,,,,,,,Public,"123,507",36.46%,8.17%,291,-20.7%,-0.57%,TXG,https://www.crunchbase.com/ipo/10x-genomics-ipo--3e5f0724,NASDAQ,3660000000.0,USD,3660000000.0,390000000.0,USD,390000000.0,2019-09-11,"SoftBank, Wells Fargo, Venrock, Silicon Valley Bank, Meritech Capital Partners",,,,,,,,10X Genomics provides an innovative genomics platform.,For Profit,63,21,Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering,Scientific and electric apparatus and instruments,25.0,3.0,https://www.twitter.com/10xgenomics,http://10xgenomics.com,,https://www.linkedin.com/company/10x-technologies,info@10xgenomics.com,"San Francisco Bay Area, West Coast, Western US",US,TXG-US,10x Genomics Inc Class A,2019-09-13,2020-03-09,2019-09-12,2019-09-13,2020-03-11,TXG-NAS,0.36368847000000004,1.0,0.36368847000000004,1.0
"111, Inc.",https://www.crunchbase.com/organization/111-inc,"Health Care, Medical",Shanghai,Shanghai,China,$10M to $50M,2010-01-01,year,2018-09-14,day,,,272600000.0,USD,272600000.0,4.0,"Gang Yu, Junling Liu",2,1001-5000,,,IPO,188000000.0,USD,188000000.0,Series D,272600000.0,USD,272600000.0,,,,,4.0,2.0,,Active,"111,Inc. is a leading digital and mobile healthcare platform in China. By applying advanced Internet and information technology, 111,Inc. is devoted to online medical services and online pharmacy through optimized supply chain and resources. 111,Inc. aims to deliver the best and comprehensive healthcare solutions to Chinese people. The main business lines of 111,Inc. include online B2C pharmacy platform 1 Drugstore, Internet hospital 1 Clinic and online B2B pharmacy platform 1 Drug Mall. Their mission is to build the largest integrated online and offline healthcare platform in China powered by technology through the innovative model of B2B2C to realize integrating development of businesses and consumers, online and offline markets, direct sales and marketplace models, drug and medical service delivery. 111,Inc. is one of the few Unicorn enterprise in the Internet medical health industry.",,,,,,,,,Series D,188000000.0,USD,188000000.0,2015-11-01,,,,,,,,,,,,Public,"1,327",83.8%,-55.74%,217,"2,912.43%",43.95%,YI,https://www.crunchbase.com/ipo/111-inc-ipo--220a1e0f,NASDAQ,2259000000.0,USD,2259000000.0,100000000.0,USD,100000000.0,2018-09-14,"Ivy Capital, ClearVue Partners, Verlinvest, Wuhan Tianying Investment Group",,,,,,,,"111, Inc. operates as a digital and mobile healthcare platform.",,,,,,,,,http://corporate.111.com.cn,,,ir@111.com.cn,Asia-Pacific (APAC),US,YI-US,"111, Inc. Sponsored ADR Class A",2018-09-16,2019-03-13,2018-09-12,2018-09-16,2019-03-15,YI-NAS,-0.43888492999999995,0.0,-0.56540386,0.0
One Medical,https://www.crunchbase.com/organization/one-medical-group,"Health Care, Information Technology, Medical, Medical Device",San Francisco,California,United States,$50M to $100M,2007-01-01,year,2020-01-30,day,,,532065000.0,USD,532065000.0,11.0,"Tom X. Lee, MD",1,1001-5000,,,IPO,220000000.0,USD,220000000.0,Private Equity,402065000.0,USD,402065000.0,1.0,Made Acquisitions,,,12.0,7.0,,Active,"One Medical is a membership-based primary care practice on a mission to make getting quality care more affordable, accessible, and enjoyable for all through a blend of human-centered design, technology, and an exceptional team. Our members enjoy seamless access to comprehensive care at 70+ calming offices near where they work, live, and shop in nine major U.S. markets, as well as 24/7 access to virtual care.",Unicorn,45,,,,,,,Private Equity,220000000.0,USD,220000000.0,2018-08-22,,,,,,,,,,,,Public,"773,111",67.58%,16.05%,96,8.78%,-1.85%,ONEM,https://www.crunchbase.com/ipo/one-medical-group-ipo--8b6df80c,NASDAQ,1710000000.0,USD,1710000000.0,245000000.0,USD,245000000.0,2020-01-30,"GV, The Carlyle Group, Redmile Group, Lifeforce Capital, Maverick Ventures",,,,,,,,One Medical is a members-only technology platform offering an array of concierge medical services.,For Profit,0,7,,Medical services; veterinary services,50.0,2.0,http://twitter.com/onemedical,http://www.onemedical.com,http://www.facebook.com/onemedical,http://www.linkedin.com/company/one-medical-group,admin@onemedical.com,"San Francisco Bay Area, West Coast, Western US",US,ONEM-US,"1Life Healthcare, Inc.",2020-02-01,2020-07-28,2020-01-31,2020-02-01,2020-07-30,ONEM-NAS,0.06932485,1.0,0.06932485,1.0
21viaNet,https://www.crunchbase.com/organization/21vianet,"Enterprise Software, Internet, Web Hosting",Beijing,Beijing,China,$100M to $500M,1999-01-01,year,2011-04-21,day,,,496000000.0,USD,496000000.0,6.0,Sheng Chen,1,1001-5000,1.0,,IPO,296000000.0,USD,296000000.0,Post-IPO Equity,396000000.0,USD,396000000.0,,,,,9.0,3.0,1.0,Active,"21Vianet Group, Inc. is a Chinese carrier-neutral internet data center services provider. 21Vianet provides hosting and related services, managed network services, and cloud computing infrastructure services, improving the reliability, security, and speed of its customers' internet connections through its internet infrastructure. Customers are able to locate their servers and networking equipment in 21Vianet's data centers and connect to China's internet backbone through 21Vianet's fiber optic network. In addition, 21Vianet’s proprietary smart routing technology, BroadEx, enables customers' data to be delivered across the internet in a faster and more reliable manner. 21Vianet operates in more than 40 cities throughout China, servicing a diversified and loyal base of more than 2,000 customers that span many industries ranging from internet companies to government entities and small- to mid-sized enterprises.",,26,,,,,,,Post-IPO Debt,100000000.0,USD,100000000.0,2020-02-19,,,,,,,,,,,,Public,166,0%,-49.91%,3,,-100%,VNET,https://www.crunchbase.com/ipo/21vianet-ipo--e8bd14ab,NASDAQ,4837729950.0,USD,4837729950.0,195000000.0,USD,195000000.0,2011-04-21,"Xiaomi, Goldman Sachs, Temasek Holdings, GGV Capital, Meritech Capital Partners",,,,,,1.0,1.0,21Vianet is a Chinese carrier-neutral internet data center services provider.,For Profit,,,,,,,https://twitter.com/21vnet,http://www.ch.21vianet.com,https://www.facebook.com/21Vianet-GroupInc-1422535241386927/,https://www.linkedin.com/company/21vianet-group-limited/,marketing@21vianet.com,Asia-Pacific (APAC),US,VNET-US,"21Vianet Group, Inc. Sponsored ADR Class A",2011-04-23,2011-10-18,2011-04-21,2011-04-23,2011-10-20,VNET-NAS,-0.47393616,0.0,-0.18723404,0.0
36Kr,https://www.crunchbase.com/organization/36kr,"Finance, Financial Services, Social Media, Venture Capital",Beijing,Beijing,China,$10M to $50M,2011-01-01,year,2019-11-08,day,,,107789875.0,USD,107789875.0,5.0,"Chengcheng Liu, Jian Hu",2,501-1000,,5.0,IPO,14400000.0,USD,14400000.0,Venture - Series Unknown,107789875.0,USD,107789875.0,,,,,5.0,1.0,18.0,Active,"36Kr was founded in July 2011 as a company dedicated to serve entrepreneurs. Over six years, it has grown into a comprehensive service provider aimed at serving innovative tech companies while being the largest and strongest ecosystem-based platform that boasts comprehensive coverage over a myriad of sectors with a game-changing vision.     So far, 36Kr consists of three major business segments: 36Kr media, Venture Capital and Kr Space, through which they strive to offer Chinese entrepreneurs and SMEs with one-stop service encompassing providing of information, matchmaking of financing and direct access to funding, not to mention office solutions and relevant incubating services. They aspire to become the platform that provides entrepreneurs and SMEs with ambient services that can help them grow, nothing short of utilities.  36Kr has served over 20,000 startups and helped to secure next round financing for 4,000 firms with free-of-charge services throughout the entire process, supporting startups to embark on their very first steps. Currently, over 90,000 startup projects are being proceeded on the 36Kr on-line platform where 80% of premium projects are hosted. Meanwhile, they have established an investment alliance of top 15 Chinese institutional investors with the mission of offering the best financing support to the most promising bunch of entrepreneurs. Out of recognition of their vision, China’s fintech giant Ant Financial has made a strategic investment in 36Kr so as to better SMEs’ financing needs. In addition, 36Kr is also favored by globally-renowned Matrix Partners China and traditional securities giant China Securities, with both as its shareholders. Another strategic investor – China Merchants Group’s VC was introduced in 2016.",,85,,,,,,,Venture - Series Unknown,14400000.0,USD,14400000.0,2016-12-16,,,,,,,,,,,,Public,"5,738,283",67.14%,-28.47%,158,-10.89%,0.7%,KRKR,https://www.crunchbase.com/ipo/36kr-ipo--bcbbc4ca,NASDAQ,,,,,,,2019-11-08,"Ant Financial, Infinity Ventures Japan, Matrix Partners China, China Merchants Capital, e.ventures",,,,,,18.0,,36Kr is a China-based publishing and data company focused on the ‘new economy’,For Profit,,,,,4.0,,http://twitter.com/36kr,http://36kr.com,http://www.facebook.com/X36Kr,https://www.linkedin.com/company/36-36kr-com-/,contact@36kr.com,Asia-Pacific (APAC),US,KRKR-US,36Kr Holdings Inc ADR Class A,2019-11-10,2020-05-06,2019-11-08,2019-11-10,2020-05-08,KRKR-NAS,-0.61255745,0.0,-0.61255745,0.0
500.com,https://www.crunchbase.com/organization/500-com,"Enterprise Software, Gambling",Shenzhen,Guangdong,China,$1M to $10M,2001-10-01,day,2013-11-25,day,,,20000000.0,USD,20000000.0,1.0,Zhaoxing Luo,1,501-1000,1.0,1.0,IPO,,,,,,,,,,,,1.0,1.0,1.0,Active,"500.com is a Chinese online sports lottery service provider that aggregates and processes lottery purchase orders. It derives nearly all of its revenue from service fees paid by local sports lottery administration centers for the purchase orders of sports lottery products directed to such centers. By taking the lead in setting the industry standards, 500.com has created a unique business model for online lottery sales, having captured the second largest market share in the country for 2012 and the largest market share in the country in the first half of 2013 in terms of purchase amounts of sports lottery products. The company offers a comprehensive and integrated suite of online lottery services, information, user tools, and virtual community venues to its users. Its lottery sales services include individual lottery purchase, lottery pool purchase, automatic tag-along purchase, recurring purchase, and locked-in lottery number purchase services. It is planning to extend its business to insurance purchase, ticket booking, and online games.  500.com was among the first companies to provide online lottery services in China, and is one of two entities that have been approved by the Ministry of Finance to provide online lottery sales services on behalf of the China Sports Lottery Administration Center, which is the government authority in charge of the issuance and sale of sports lottery products in China. As of September 30, 2013, it had 18.4 million total registered accounts. 500.com was founded in October 2001 in Shenzhen as 500wan.com Ltd., with a registered capital of RMB 50 million. The company secured venture capital investments of several million U.S. dollars from IDG Capital Partners, Sequoia Capital, and SIG Capital in September 2007. It changed its name to 500.com in October 2013 and went public on the New York Stock Exchange (NYSE) under the symbol WBAI on November 22, 2013.  500.com competes with lottery.gov.cn, and zhcw.com.",,6,,,,,,,Convertible Note,20000000.0,USD,20000000.0,2013-10-21,,,,,,,,,,,,Public,,,,,,,WBAI,https://www.crunchbase.com/ipo/500-com-ipo--bcbf013a,NYSE - New York Stock Exchange,,,,,,,2013-11-25,Sequoia Capital China,,,,,,1.0,1.0,500.com is a Chinese online sports lottery service provider.,For Profit,,,,,,,https://twitter.com/500lottery,https://www.500.com/,,https://www.linkedin.com/company/500-com-ltd/,,Asia-Pacific (APAC),US,WBAI-US,500.com Limited,2013-11-27,2014-05-24,2013-11-22,2013-11-27,2014-05-26,WBAI-NYS,0.6629808,1.0,-0.6889422999999999,0.0
51 Credit Card Manager,https://www.crunchbase.com/organization/51-credit-card-manager,"Credit Cards, Finance, Financial Services, FinTech, Internet, Payments, Software",Hangzhou,Zhejiang,China,$100M to $500M,2012-01-01,year,2018-07-13,day,,,459000000.0,USD,459000000.0,5.0,Haitao Sun,1,1001-5000,,4.0,IPO,84000000.0,USD,84000000.0,Series C,459000000.0,USD,459000000.0,,,,,11.0,5.0,11.0,Active,"51 Credit Card Manager develops a credit card management application. It offers 51 Credit Card Manager, an application which manages the user's credit card bills.  Sun Haitao founded 51 Credit Card Manager in 2012. Its headquarters is in Hangzhou in China.",Unicorn,1,,,,,,,Series C,84000000.0,USD,84000000.0,2016-10-26,,,,,,,,,,,,Public,"107,780",73.45%,-37.25%,43,-49.04%,56.22%,2051,https://www.crunchbase.com/ipo/51-credit-card-manager-ipo--6a1371c4,HKG - Hong Kong Stock Exchange,1360000000.0,USD,1360000000.0,1000000000.0,HKD,127397460.0,2018-07-13,"JD.com, GGV Capital, Shunwei Capital, Yintai Group, SIG China (SIG Asia Investments)",,,,,,10.0,,51 Credit Card Manager develops a credit card management application.,For Profit,,,,,,,,https://www.u51.com,,https://www.linkedin.com/company/51%E4%BF%A1%E7%94%A8%E5%8D%A1/about/,ir@u51.com,Asia-Pacific (APAC),HK,2051-HK,51 Credit Card Inc.,2018-07-15,2019-01-09,2018-07-13,2018-07-15,2019-01-11,2051-HKG,-0.54505497,0.0,-0.8758241999999999,0.0
51job,https://www.crunchbase.com/organization/51job,"Human Resources, Information Services, Information Technology, Internet, Professional Services",Shanghai,Shanghai,China,,1998-01-01,year,2004-09-29,day,,,12510000.0,USD,12510000.0,2.0,Norman Lui,1,5001-10000,,3.0,IPO,9380000.0,USD,9380000.0,Series B,12510000.0,USD,12510000.0,,,,,1.0,1.0,4.0,Active,"51job.com is a recruitment website in China, with over 72 million registered members, the largest resume database, and the highest peak traffic of daily page views. It offers a broad array of services in the areas of recruitment solutions, training and assessment, and HR outsourcing and consulting services. Combining the strengths of traditional and new media, 51job.com delivers an integrated recruitment solution by leveraging technology and expertise with a large staff of experienced professionals. 51job.com serves many domestic and multinational corporate clients through 25 offices in Mainland, China. On average, there are over 2.7 million job postings online, and approximately 38 million applications are delivered through 51job.com to potential employers every week. According to industry reports by iResearch, 51job.com has been ranked number 1 in market share for several consecutive years. It has also received recognition from several industry watchers such as CNNIC, Alexa and Euromonitor, honoring 51job.com as """"China's Most Influential Recruitment Website"""" and """"World's 100 Best Chinese Websites."""" Launched in 1998, 51job.com is an influential HR services provider in China.",,2,,,,,,,Series B,9380000.0,USD,9380000.0,2002-01-01,,,,,,,,,,,,Public,"7,184,574",43.23%,-44.7%,347,-9.08%,3.34%,JOBS,https://www.crunchbase.com/ipo/51job-ipo--6e0b5e02,NASDAQ,750315706.0,USD,750315706.0,73500000.0,USD,73500000.0,2004-09-29,DCM Ventures,,,,,,4.0,,"51job.com, a Chinese recruitment website, offers recruitment solutions, training and assessment, and HR outsourcing and consulting services.",For Profit,,,,,4.0,,https://www.twitter.com/51job,http://51job.com,,,hr@51job.com,Asia-Pacific (APAC),US,JOBS-US,51job Inc Sponsored ADR,2004-10-01,2005-03-28,2004-09-29,2004-10-01,2005-03-30,JOBS-NAS,-0.36311787,0.0,4.3064636,1.0
58.com,https://www.crunchbase.com/organization/58-com,"Advertising, Internet, Marketing",Beijing,Beijing,China,$500M to $1B,2005-01-01,year,2013-10-31,day,,,876780000.0,USD,876780000.0,6.0,Jinbo Yao,1,10001+,1.0,7.0,IPO,736000000.0,USD,736000000.0,Post-IPO Equity,876780000.0,USD,876780000.0,2.0,Made Acquisitions,,,4.0,1.0,14.0,Active,"58.com is a Chinese classified advertisements website enabling local merchants and consumers to publish information and advertise their service offerings in local communities.  58.com’s package includes target consumer group identification, services and products advertising, online marketing service, and customer relations management. Its aim is to provide a forum for the low income and jobless group. As the biggest online classifieds publisher, 58.com provides free, localized and credible information for voluntary users. Founded on December 12, 2005, and headquartered in Beijing, 58.com is China's for-profit version of Craigslist in the United States. It received $25 million in funding as investments from Softbank Asia Infrastructure Fund (SAIF) partners and DCM. It began trading on the New York Stock Exchange on October 31, 2013. As of November 2010, 58.com has set up branches in 32 cities, with 6,500 full-time staff serving over 50 million registered users. The site’s user base continues to grow, with more than 50,000 new users added per day. The average number of page views per unique visitor per day is 10, with 1 million posts per day. Due to its increasing website traffic volume and number of unique visitors and page views, 58.com is ranked the first among local life service websites. Its main competitors include Ganji.com and Baixing.com.",,65,,,,,,,Post-IPO Equity,736000000.0,USD,736000000.0,2014-06-27,,,,,,,,,,,,Public,"35,068,592",60.06%,-12.61%,237,-3.2%,2.88%,WUBA,https://www.crunchbase.com/ipo/58-com-ipo--f75c7310,NYSE - New York Stock Exchange,,,,187000000.0,USD,187000000.0,2013-10-31,"Tencent Holdings, Warburg Pincus, SAIF Partners, DCM Ventures",,,,,,13.0,1.0,58.com is a classified advertisements website serving local merchants and consumers in China.,For Profit,,,,,3.0,,https://www.twitter.com/58tongcheng,http://www.58.com,https://www.facebook.com/pages/category/Internet-Company/58com-Global-58%E5%90%8C%E5%9F%8E%E5%9B%BD%E9%99%85%E7%AB%99-1677344365718359/,https://www.linkedin.com/company/58-com-inc/,sale@58.com,Asia-Pacific (APAC),US,WUBA-US,58.com Inc. Sponsored ADR Class A,2013-11-02,2014-04-29,2013-10-31,2013-11-02,2014-05-01,WUBA-NYS,0.7028001,1.0,1.0671998999999999,1.0
